feature,weight
CONFIG_SND_COMPRESS_OFFLOAD,2
CONFIG_IWLWIFI,1
CONFIG_XEN_NETDEV_BACKEND,1
CONFIG_X86_MSR,1
CONFIG_VHOST_NET,3
CONFIG_BT_HIDP,2
CONFIG_TMPFS,2
CONFIG_USB_SERIAL_EDGEPORT_TI,3
CONFIG_USB_GADGET,42
CONFIG_USB_OTG_UTILS,3
CONFIG_EXT3_FS,1
CONFIG_USB_WDM,3
CONFIG_USB_ACM,3
CONFIG_USB_PRINTER,2
CONFIG_USB_TMC,2
CONFIG_TIGON3,1
CONFIG_NET_VENDOR_BROADCOM,1
CONFIG_ETHERNET,6
CONFIG_USER_NS,4
CONFIG_VETH,1
CONFIG_USB_CHIPIDEA_HOST,1
CONFIG_USB_CHIPIDEA,1
CONFIG_XEN_BLKDEV_BACKEND,1
CONFIG_CPU_SUP_INTEL,1
CONFIG_NET_KEY,4
CONFIG_CRYPTO_BLKCIPHER2,2
CONFIG_CRYPTO_HASH2,1
CONFIG_CRYPTO_USER,5
CONFIG_CRYPTO_RNG2,1
CONFIG_CRYPTO_AEAD2,1
CONFIG_CRYPTO_PCOMP2,1
CONFIG_FB,2
CONFIG_DCB,0
CONFIG_EVENT_TRACING,1
CONFIG_TRACE_CLOCK,3
CONFIG_TRACEPOINTS,3
CONFIG_CRYPTO_USER_API_HASH,2
CONFIG_CRYPTO_USER_API_SKCIPHER,3
CONFIG_CAIF,1
CONFIG_AFIUCV,1
CONFIG_IUCV,1
CONFIG_VMWARE_VMCI_VSOCKETS,1
CONFIG_VSOCKETS,2
CONFIG_VHOST_RING,4
CONFIG_CIFS_DFS_UPCALL,1
CONFIG_DM_SNAPSHOT,1
CONFIG_MD,4
CONFIG_FB_AU1200,1
CONFIG_FB_AU1100,1
CONFIG_UIO,1
CONFIG_USB_WPAN_HCD,4
CONFIG_BCM_WIMAX,1
CONFIG_SB105X,1
CONFIG_LIBERTAS,1
CONFIG_SCSI_AACRAID,2
CONFIG_SCSI_NETLINK,1
CONFIG_AUDIT,1
CONFIG_PROC_EVENTS,1
CONFIG_CONNECTOR,1
CONFIG_CAN_GW,2
CONFIG_DECNET,3
CONFIG_DECNET_ROUTER,1
CONFIG_DECNET_NF_GRABULATOR,1
CONFIG_NETFILTER_NETLINK,2
CONFIG_PACKET_DIAG,1
CONFIG_PHONET,2
CONFIG_TTY,5
CONFIG_FARSYNC,1
CONFIG_WANXL,1
CONFIG_YAM,2
CONFIG_HAMRADIO,3
CONFIG_NF_NAT_IRC,1
CONFIG_BLK_DEV_FD,5
CONFIG_MEDIA_SUPPORT,1
CONFIG_NF_CT_PROTO_DCCP,1
CONFIG_ATH9K,1
CONFIG_ATH9K_HW,3
CONFIG_ATH_CARDS,1
CONFIG_BPF_JIT,2
CONFIG_HID_MAGICMOUSE,1
CONFIG_HID,17
CONFIG_HID_LOGITECH_DJ,2
CONFIG_HID_CHERRY,1
CONFIG_HID_KYE,1
CONFIG_HID_LOGITECH,1
CONFIG_HID_MONTEREY,1
CONFIG_HID_PETALYNX,1
CONFIG_HID_SUNPLUS,1
CONFIG_USB_SERIAL_WHITEHEAT,2
CONFIG_USB_PHY,32
CONFIG_HID_PICOLCD,1
CONFIG_ASSOCIATIVE_ARRAY,3
CONFIG_KVM_INTEL,7
CONFIG_LZO_DECOMPRESS,2
CONFIG_LZO_COMPRESS,1
CONFIG_LZ4_DECOMPRESS,2
CONFIG_LZ4_COMPRESS,1
CONFIG_LZ4HC_COMPRESS,1
CONFIG_CEPH_LIB,2
CONFIG_FTRACE_SYSCALLS,1
CONFIG_X86_32,1
CONFIG_IA32_EMULATION,1
CONFIG_NF_CONNTRACK,2
CONFIG_MAC80211,1
CONFIG_DVB_TTUSB_DEC,1
CONFIG_REGULATOR,1
CONFIG_CUSE,1
CONFIG_NF_TABLES,1
CONFIG_BINFMT_ELF,1
CONFIG_MICROCODE_INTEL_EARLY,1
CONFIG_MICROCODE,1
CONFIG_X86_64,1
CONFIG_CRYPTO_AES_NI_INTEL,1
CONFIG_VHOST_SCSI,1
CONFIG_VIRTIO_NET,1
CONFIG_X509_CERTIFICATE_PARSER,1
CONFIG_ASYMMETRIC_KEY_TYPE,1
CONFIG_BLK_DEV_MD,1
CONFIG_CHR_DEV_SG,6
CONFIG_VHOST,1
CONFIG_TABLET_USB_AIPTEK,1
CONFIG_INPUT_TABLET,2
CONFIG_INPUT,7
CONFIG_VIDEO_VIVID,1
CONFIG_DGNC,1
CONFIG_PPTP,2
CONFIG_PPP_BSDCOMP,1
CONFIG_PPP_DEFLATE,1
CONFIG_PPPOE,1
CONFIG_PPP_MPPE,1
CONFIG_PPP_SYNC_TTY,1
CONFIG_PPP,1
CONFIG_PPP_ASYNC,1
CONFIG_BT_BREDR,2
CONFIG_OVERLAY_FS,3
CONFIG_NF_NAT_REDIRECT,1
CONFIG_DVB_CX24116,1
CONFIG_BLK_DEV_BSG,1
CONFIG_CRYPTO_MCRYPTD,1
CONFIG_FS_ENCRYPTION,1
CONFIG_SPI_CADENCE_QUADSPI,1
CONFIG_MTD_SPI_NOR,1
CONFIG_MTD,1
CONFIG_NFSD_V2_ACL,2
CONFIG_NFSD_V3_ACL,2
CONFIG_SCHED_STACK_END_CHECK,1
CONFIG_ASN1,1
CONFIG_EVM,1
CONFIG_INTEGRITY,1
CONFIG_SND_USB_AUDIO,4
CONFIG_INPUT_POWERMATE,1
CONFIG_INPUT_MISC,2
CONFIG_BPF_SYSCALL,14
CONFIG_BPF,15
CONFIG_SND_USB_US122L,1
CONFIG_SND_USB_USX2Y,1
CONFIG_SND_USB_UA101,1
CONFIG_SND_TIMER,9
CONFIG_SND_HRTIMER,1
CONFIG_USB_SERIAL_VISOR,1
CONFIG_NETFILTER_XTABLES,1
CONFIG_USB_SERIAL_MCT_U232,1
CONFIG_VIDEOBUF2_CORE,1
CONFIG_USB_AIRSPY,1
CONFIG_AUDITSYSCALL,1
CONFIG_CROS_EC_CHARDEV,1
CONFIG_CHROME_PLATFORMS,1
CONFIG_SECURITY_APPARMOR,1
CONFIG_INFINIBAND_SRPT,1
CONFIG_SCSI_ARCMSR,1
CONFIG_USB_F_FS,1
CONFIG_MEDIA_TUNER_XC2028,1
CONFIG_FIREWIRE_NET,1
CONFIG_RDMA_RXE,1
CONFIG_MPILIB,1
CONFIG_BRCMFMAC,4
CONFIG_BRCMSMAC,2
CONFIG_WLAN_VENDOR_BROADCOM,2
CONFIG_VFIO_PCI,1
CONFIG_VFIO,1
CONFIG_ION,1
CONFIG_ANDROID,1
CONFIG_PROC_SYSCTL,1
CONFIG_BIG_KEYS,1
CONFIG_NF_DEFRAG_IPV6,2
CONFIG_TIMERFD,1
CONFIG_F2FS_FS,5
CONFIG_DRM_VIRTIO_GPU,2
CONFIG_POSIX_MQUEUE,1
CONFIG_USB_LEGOTOWER,1
CONFIG_USERFAULTFD,2
